id,reactants>reagents>production
US07893074B2,CN[C:11]([c:10]1[c:9]([NH:8][c:6]2[c:5]([Cl:19])[cH:4][n:3][c:2](Cl)[n:7]2)[cH:18][cH:17][cH:16][cH:15]1)=[O:12].[CH3:22][O:23][c:24]1[c:25]([NH2:26])[cH:27][cH:28][c:29]([N:31]2[CH2:32][CH2:33][O:34][CH2:35][CH2:36]2)[cH:30]1.[O-]C(O)=[O:39]>>[c:2]1([NH:26][c:25]2[c:24]([O:23][CH3:22])[cH:30][c:29]([N:31]3[CH2:32][CH2:33][O:34][CH2:35][CH2:36]3)[cH:28][cH:27]2)[n:3][cH:4][c:5]([Cl:19])[c:6]([NH:8][c:9]2[c:10]([C:11]([OH:12])=[O:39])[cH:15][cH:16][cH:17][cH:18]2)[n:7]1
US07968570B2,[C:1]1(=[O:10])[NH:2][CH2:3][c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]21.Br[CH2:11][C:12]#[CH:13]>>[C:1]1(=[O:10])[N:2]([CH2:13][C:12]#[CH:11])[CH2:3][c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]21
US07192982B2,CC[O:3][C:4]([C@H:5]([CH2:6][c:7]1[cH:8][cH:9][c:10]([O:13][CH2:14][CH2:15][CH2:16][O:17][c:18]2[cH:19][cH:20][c:21](I)[cH:22][cH:23]2)[cH:11][cH:12]1)[O:25][CH3:26])=[O:27].OB(O)[c:36]1[cH:35][cH:34][cH:33][c:32]2[cH:31][cH:30][cH:29][n:28][c:37]21>>[OH:3][C:4]([C@H:5]([CH2:6][c:7]1[cH:8][cH:9][c:10]([O:13][CH2:14][CH2:15][CH2:16][O:17][c:18]2[cH:19][cH:20][c:21](-[c:36]3[cH:35][cH:34][cH:33][c:32]4[cH:31][cH:30][cH:29][n:28][c:37]43)[cH:22][cH:23]2)[cH:11][cH:12]1)[O:25][CH3:26])=[O:27]
US08835420B2,[Br:1][c:2]1[cH:3][c:4]2[c:5]([n:6][c:7]1[CH:8]([CH3:9])[NH2:10])[cH:11][cH:12][n:13]2[CH3:14]>>[Br:1][c:2]1[cH:3][c:4]2[c:5]([n:6][c:7]1[C@H:8]([CH3:9])[NH2:10])[cH:11][cH:12][n:13]2[CH3:14]
US04347386,O[C:2]1([CH3:11])[CH:3]=[CH:4][C:5](=[O:10])[CH:6]1[CH2:7][CH:8]=[CH2:9].[OH-:12]>>[C:2]1([CH3:11])=[C:6]([CH2:7][CH:8]=[CH2:9])[C:5](=[O:10])[CH2:4][CH:3]1[OH:12]
US08748446B2,CC(C)([O-])[CH3:1].[CH3:12][CH:13]([C:14](=[O:15])[O:16][CH2:17][CH3:18])[C:19](=[O:20])[CH3:21].BrC[CH2:29][CH2:28][CH2:27][CH2:26][C:25]([O:24][CH2:22][CH3:23])=[O:32]>>[CH3:1][C:13]([CH2:12][CH2:29][CH2:28][CH2:27][CH2:26][C:25]([O:24][CH2:22][CH3:23])=[O:32])([C:14](=[O:15])[O:16][CH2:17][CH3:18])[C:19](=[O:20])[CH3:21]
US06590048B1,C=[CH:2][CH2:1][O:4][CH2:5][C:6]#[C:7][CH2:8][O:9][CH2:10][CH:11]=C>>[CH2:1]1[CH:2]=[C:6]([C:7]2=[CH:11][CH2:10][O:9][CH2:8]2)[CH2:5][O:4]1
US06858625B1,CC[O:27][C:25]([c:8]1[c:7](=[O:30])[c:6]2[cH:5][c:4]([F:31])[c:3]([F:32])[c:2]([Br:1])[c:11]2[n:10](-[c:12]2[n:13][c:14]([NH:20]C(C)(C)C)[c:15]([F:19])[cH:16][c:17]2[F:18])[cH:9]1)=[O:26]>>[Br:1][c:2]1[c:3]([F:32])[c:4]([F:31])[cH:5][c:6]2[c:7](=[O:30])[c:8]([C:25](=[O:26])[OH:27])[cH:9][n:10](-[c:12]3[n:13][c:14]([NH2:20])[c:15]([F:19])[cH:16][c:17]3[F:18])[c:11]12
US05607956,C[Si](C)(C)[c:8]1[s:9][cH:10][cH:11][n:12]1.[C:15]([CH3:16])(=[O:17])[c:18]1[cH:19][s:20][cH:21][cH:22]1>>[cH:8]1[s:9][c:10]([C:15]([CH3:16])([OH:17])[c:18]2[cH:19][s:20][cH:21][cH:22]2)[cH:11][n:12]1
USH0002007H1,[Cl:6][c:7]1[c:8]2[cH:9][cH:10][nH:11][c:12]2[cH:13][cH:14][cH:15]1.CN(C)[CH:20]=[O:21]>>[Cl:6][c:7]1[c:8]2[c:9]([CH:20]=[O:21])[cH:10][nH:11][c:12]2[cH:13][cH:14][cH:15]1
US04333940,Cl[C:4]([c:3]1[c:2]([F:1])[cH:10][c:9]([NH:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][CH2:22][CH2:23][CH2:24][CH2:25][CH2:26][CH3:27])[cH:8][cH:7]1)=[O:5].[NH:35]1[CH2:36][CH2:37][CH2:38][CH2:39][CH2:40]1>>[F:1][c:2]1[c:3]([C:4](=[O:5])[N:35]2[CH2:36][CH2:37][CH2:38][CH2:39][CH2:40]2)[cH:7][cH:8][c:9]([NH:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][CH2:22][CH2:23][CH2:24][CH2:25][CH2:26][CH3:27])[cH:10]1
US04486427,[c:1]1([CH2:7][S:8](=[O:9])(=[O:10])[N:11]2[C:12](=[CH:17][N+:18](=[O:19])[O-:20])[S:13][CH2:14][CH2:15][CH2:16]2)[cH:2][cH:3][cH:4][cH:5][cH:6]1.O=C1CCC(=O)N1[Br:21]>>[c:1]1([CH2:7][S:8](=[O:9])(=[O:10])[N:11]2[C:12](=[C:17]([N+:18](=[O:19])[O-:20])[Br:21])[S:13][CH2:14][CH2:15][CH2:16]2)[cH:2][cH:3][cH:4][cH:5][cH:6]1
US08501732B2,[CH3:1][O:2][c:3]1[cH:4][c:5]2[c:6]([NH2:15])[n:7][cH:8][n:9][c:10]2[cH:11][c:12]1[O:13][CH3:14].Br[CH2:19][c:20]1[cH:21][n:22](-[c:32]2[cH:33][cH:34][cH:35][cH:36][cH:37]2)[c:23]2[cH:24][c:25]([Cl:31])[cH:26][cH:27][c:28]2[c:29]1=[O:30]>>[CH3:1][O:2][c:3]1[cH:4][c:5]2[c:6]([NH:15][CH2:19][c:20]3[cH:21][n:22](-[c:32]4[cH:33][cH:34][cH:35][cH:36][cH:37]4)[c:23]4[cH:24][c:25]([Cl:31])[cH:26][cH:27][c:28]4[c:29]3=[O:30])[n:7][cH:8][n:9][c:10]2[cH:11][c:12]1[O:13][CH3:14]
US08431563B2,O=[N+:1]([O-])[c:4]1[cH:5][cH:6][c:7]([S:9](=[O:10])(=[O:11])[N:12]2[CH2:13][C@H:14]([CH2:34][N:35]3[C:36]([CH3:42])([CH3:43])[C:37](=[O:41])[NH:38][CH2:39][CH2:40]3)[N:15]([c:18]3[n:19][cH:20][c:21]([C:24]([C:25]([F:26])([F:27])[F:28])([C:29]([F:30])([F:31])[F:32])[OH:33])[cH:22][n:23]3)[CH2:16][CH2:17]2)[s:8]1>>[NH2:1][c:4]1[cH:5][cH:6][c:7]([S:9](=[O:10])(=[O:11])[N:12]2[CH2:13][C@H:14]([CH2:34][N:35]3[C:36]([CH3:42])([CH3:43])[C:37](=[O:41])[NH:38][CH2:39][CH2:40]3)[N:15]([c:18]3[n:19][cH:20][c:21]([C:24]([C:25]([F:26])([F:27])[F:28])([C:29]([F:30])([F:31])[F:32])[OH:33])[cH:22][n:23]3)[CH2:16][CH2:17]2)[s:8]1
US07176310B1,[SH:1][c:2]1[cH:3][c:4]([C:5](=[O:6])[OH:7])[cH:8][cH:9][cH:10]1.CS(=O)[c:30]1[n:29][cH:28][c:27]([C:25]([NH:24][c:21]2[cH:20][cH:19][c:18]([F:17])[cH:23][cH:22]2)=[O:26])[cH:32][n:31]1>>[S:1]([c:2]1[cH:3][c:4]([C:5](=[O:6])[OH:7])[cH:8][cH:9][cH:10]1)[c:30]1[n:29][cH:28][c:27]([C:25]([NH:24][c:21]2[cH:20][cH:19][c:18]([F:17])[cH:23][cH:22]2)=[O:26])[cH:32][n:31]1
US07718683B2,O=S(Cl)[Cl:3].O=[C:21]([c:20]1[c:19]([NH:18][S:15]([c:12]2[cH:11][cH:10][c:9]([C:5]([CH3:6])([CH3:7])[CH3:8])[cH:14][cH:13]2)(=[O:16])=[O:17])[cH:27][c:26](F)[c:25]([Cl:29])[cH:24]1)[OH:23]>>[Cl:3][C:21]([c:20]1[c:19]([NH:18][S:15]([c:12]2[cH:11][cH:10][c:9]([C:5]([CH3:6])([CH3:7])[CH3:8])[cH:14][cH:13]2)(=[O:16])=[O:17])[cH:27][cH:26][c:25]([Cl:29])[cH:24]1)=[O:23]
US09238639B2,[CH2:1]([CH3:2])[O:3][C:4]([CH2:5][c:6]1[cH:7][s:8][c:9]2[c:10]1[cH:11][cH:12][c:13]([OH:15])[cH:14]2)=[O:16].O=S(=O)(C(F)(F)F)[O:24][S:25](=O)(=[O:26])[C:28]([F:29])([F:30])[F:31]>>[CH2:1]([CH3:2])[O:3][C:4]([CH2:5][c:6]1[cH:7][s:8][c:9]2[c:10]1[cH:11][cH:12][c:13]([O:15][S:25](=[O:24])(=[O:26])[C:28]([F:29])([F:30])[F:31])[cH:14]2)=[O:16]
US07015218B1,O=[C:13]([c:11]1[c:10]([CH3:16])[n:9][n:8](-[c:5]2[cH:4][cH:3][c:2]([F:1])[cH:7][cH:6]2)[cH:12]1)[OH:15].[NH2:17][c:18]1[cH:19][cH:20][c:21]([O:26][CH2:27][C:28]([CH3:29])([CH3:30])[CH3:31])[c:22]([C:23]#[N:24])[cH:25]1>>[F:1][c:2]1[cH:3][cH:4][c:5](-[n:8]2[n:9][c:10]([CH3:16])[c:11]([C:13](=[O:15])[NH:17][c:18]3[cH:19][cH:20][c:21]([O:26][CH2:27][C:28]([CH3:29])([CH3:30])[CH3:31])[c:22]([C:23]#[N:24])[cH:25]3)[cH:12]2)[cH:6][cH:7]1
US07345180B2,[NH2:1][c:2]1[n:3][nH:4][c:5]([CH3:7])[cH:6]1.CCO[CH:11]=[C:12]([C:13](=[O:14])[O:15]CC)[C:18](=O)[C:20]([F:21])([F:22])[F:23]>>[n:1]1[c:2]2[n:3]([n:4][c:5]([CH3:7])[cH:6]2)[c:18]([C:20]([F:21])([F:22])[F:23])[c:12]([C:13](=[O:14])[OH:15])[cH:11]1
US09181186B2,[CH:1]1([CH:4]([CH2:5][C:6](=[O:7])[OH:8])[c:9]2[cH:10][c:11]([OH:17])[c:12]([O:15][CH3:16])[cH:13][cH:14]2)[CH2:2][CH2:3]1.O[CH3:23]>>[CH:1]1([CH:4]([CH2:5][C:6](=[O:7])[O:8][CH3:23])[c:9]2[cH:10][c:11]([OH:17])[c:12]([O:15][CH3:16])[cH:13][cH:14]2)[CH2:2][CH2:3]1
US06734200B1,O=C(OCC(Cl)(Cl)Cl)[N:7]([c:8]1[n:9][o:10][cH:11][cH:12]1)[CH2:13][C@H:14]1[CH2:15][N:16]([c:20]2[cH:21][c:22]([F:31])[c:23](-[n:26]3[cH:27][n:28][cH:29][cH:30]3)[cH:24][cH:25]2)[C:17](=[O:19])[O:18]1>>[NH:7]([c:8]1[n:9][o:10][cH:11][cH:12]1)[CH2:13][C@H:14]1[CH2:15][N:16]([c:20]2[cH:21][c:22]([F:31])[c:23](-[n:26]3[cH:27][n:28][cH:29][cH:30]3)[cH:24][cH:25]2)[C:17](=[O:19])[O:18]1
US07018997B2,CC(=O)O[CH:5]([C:6]1(Br)[C@H:7]2[S:8][CH:9]=[C:10]([C:14](=[O:15])[O:16]Cc3ccc([N+](=O)[O-])cc3)[N:11]2[C:12]1=[O:13])[c:28]1[cH:29][cH:30][c:31]2[c:32]([n:33]3[c:34]([n:35]2)[s:36][cH:37][cH:38]3)[cH:39]1>>[CH:5](=[C:6]1\[C@H:7]2[S:8][CH:9]=[C:10]([C:14](=[O:15])[OH:16])[N:11]2[C:12]1=[O:13])\[c:28]1[cH:29][cH:30][c:31]2[c:32]([n:33]3[c:34]([n:35]2)[s:36][cH:37][cH:38]3)[cH:39]1
US06124465,OB(O)[c:5]1[cH:4][cH:3][c:2]([CH3:1])[cH:7][cH:6]1.I[C:27]1=[CH:28][CH2:29][CH:30]([c:37]2[c:38]([O:43][CH3:44])[cH:39][cH:40][cH:41][cH:42]2)[C:31]2([C:33](=[O:34])[O:35][CH3:36])[CH:26]1[CH2:25][N:24]([CH2:17][c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1)[CH2:32]2>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([C:27]2=[CH:28][CH2:29][CH:30]([c:37]3[c:38]([O:43][CH3:44])[cH:39][cH:40][cH:41][cH:42]3)[C:31]3([C:33](=[O:34])[O:35][CH3:36])[CH:26]2[CH2:25][N:24]([CH2:17][c:18]2[cH:19][cH:20][cH:21][cH:22][cH:23]2)[CH2:32]3)[cH:6][cH:7]1
US05158948,Cl[C:16]([CH2:15][c:12]1[cH:11][c:10]([O:19][CH3:20])[c:9]([O:8][CH2:1][c:2]2[cH:3][cH:4][cH:5][cH:6][cH:7]2)[cH:14][cH:13]1)=[O:17].[NH2:26][CH2:27][C:28]1([OH:37])[CH2:29][CH2:30][c:31]2[cH:32][cH:33][cH:34][cH:35][c:36]21>>[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[O:8][c:9]1[c:10]([O:19][CH3:20])[cH:11][c:12]([CH2:15][C:16](=[O:17])[NH:26][CH2:27][C:28]2([OH:37])[CH2:29][CH2:30][c:31]3[cH:32][cH:33][cH:34][cH:35][c:36]32)[cH:13][cH:14]1
US08258144B2,[N+:1](=[O:2])([O-:3])[c:4]1[cH:5][c:6]2[c:11]([cH:12][cH:13]1)[NH:10][C:9](=[O:14])[CH2:8][CH2:7]2.Br[CH2:22][C:23](=[O:24])[O:25][CH2:26][CH3:27]>>[N+:1](=[O:2])([O-:3])[c:4]1[cH:5][c:6]2[c:11]([cH:12][cH:13]1)[N:10]([CH2:22][C:23](=[O:24])[O:25][CH2:26][CH3:27])[C:9](=[O:14])[CH2:8][CH2:7]2
US08222254B2,CC[O:20][C:18](=O)[CH2:17][CH2:16][N:13]1[CH2:12][CH2:11][N:10]([c:6]2[cH:5][c:4]([N+:1](=[O:2])[O-:3])[cH:9][cH:8][cH:7]2)[CH2:15][CH2:14]1.[NH2:24][NH2:25]>>[N+:1](=[O:2])([O-:3])[c:4]1[cH:5][c:6]([N:10]2[CH2:11][CH2:12][N:13]([CH2:16][CH2:17][C:18](=[O:20])[NH:24][NH2:25])[CH2:14][CH2:15]2)[cH:7][cH:8][cH:9]1
US06476029B1,[CH2:1]([CH3:2])[O:3][c:4]1[c:5](-[c:10]2[n:11][n:12]3[c:13]([c:14](=[O:16])[nH:15]2)[c:17]([CH3:25])[n:18][c:19]3[CH:20]2[CH2:21][CH2:22][CH2:23][CH2:24]2)[cH:6][cH:7][cH:8][cH:9]1.O=[S:26]([OH:27])(=[O:28])[Cl:30]>>[CH2:1]([CH3:2])[O:3][c:4]1[c:5](-[c:10]2[n:11][n:12]3[c:13]([c:14](=[O:16])[nH:15]2)[c:17]([CH3:25])[n:18][c:19]3[CH:20]2[CH2:21][CH2:22][CH2:23][CH2:24]2)[cH:6][c:7]([S:26](=[O:27])(=[O:28])[Cl:30])[cH:8][cH:9]1
US08962596B2,O=[C:20]([CH2:19][CH:18]([n:16]1[n:15][cH:14][c:13](-[c:11]2[n:10]3[c:9]([cH:8][c:7](-[c:5]4[cH:4][n:3][n:2]([CH3:1])[cH:6]4)[n:12]2)[n:29][cH:28][cH:27]3)[cH:17]1)[CH2:23][C:24](=O)[NH2:26])[NH2:22]>>[CH3:1][n:2]1[n:3][cH:4][c:5](-[c:7]2[cH:8][c:9]3[n:10]([c:11](-[c:13]4[cH:14][n:15][n:16]([CH:18]([CH2:19][C:20]#[N:22])[CH2:23][C:24]#[N:26])[cH:17]4)[n:12]2)[cH:27][cH:28][n:29]3)[cH:6]1
US07858781B2,Br[c:25]1[cH:24][cH:23][cH:22][c:21]2[nH:20][c:19]([C:17]([NH:16][CH:13]3[CH2:12][CH2:11][N:10]([CH2:9][CH2:8][N:1]4[CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7]4)[CH2:15][CH2:14]3)=[O:18])[cH:27][c:26]21.OB(O)[c:35]1[cH:34][c:31]2[c:30]([n:29][o:33][n:32]2)[cH:37][cH:36]1>>[N:1]1([CH2:8][CH2:9][N:10]2[CH2:11][CH2:12][CH:13]([NH:16][C:17](=[O:18])[c:19]3[nH:20][c:21]4[cH:22][cH:23][cH:24][c:25](-[c:35]5[cH:34][c:31]6[c:30]([n:29][o:33][n:32]6)[cH:37][cH:36]5)[c:26]4[cH:27]3)[CH2:14][CH2:15]2)[CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7]1
US08691836B2,Cl[CH2:7][CH2:6][CH2:5][C:4](=[N:3][O:2][CH3:1])[c:9]1[cH:10][cH:11][c:12]([F:15])[cH:13][cH:14]1.[I-:16]>>[CH3:1][O:2][N:3]=[C:4]([CH2:5][CH2:6][CH2:7][I:16])[c:9]1[cH:10][cH:11][c:12]([F:15])[cH:13][cH:14]1
US05200417,c1ccc2c([Cl:1])nccc2c1>>[ClH:1]
US08389533B2,F[C:2]1([F:1])[CH2:3][CH2:4][C:5]2([CH:6]=[CH:7][c:8]3[c:9]([n:10][cH:11][cH:12][cH:13]3)[O:14]2)[CH2:15][CH2:16]1>>[F:1][C:2]1=[CH:3][CH2:4][C:5]2([CH:6]=[CH:7][c:8]3[c:9]([n:10][cH:11][cH:12][cH:13]3)[O:14]2)[CH2:15][CH2:16]1
US07713994B2,CO[CH:3]=[C:4]1[C:5](=[O:15])[NH:6][C:7](=[O:14])[c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]21.[NH2:16][c:17]1[cH:18][cH:19][c:20]([CH2:21][OH:22])[cH:23][cH:24]1>>[CH:3](=[C:4]1[C:5](=[O:15])[NH:6][C:7](=[O:14])[c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]21)[NH:16][c:17]1[cH:18][cH:19][c:20]([CH2:21][OH:22])[cH:23][cH:24]1
US04600709,[Cl:1][c:2]1[cH:3][cH:4][c:5]([S:8](=[O:9])(=[O:10])[c:11]2[cH:12][c:13]([OH:19])[c:14]([OH:18])[cH:15][c:16]2[CH3:17])[cH:6][cH:7]1.CC[O:22][C:23]([CH:24](Cl)Cl)=[O:27]>>[Cl:1][c:2]1[cH:3][cH:4][c:5]([S:8](=[O:9])(=[O:10])[c:11]2[cH:12][c:13]3[c:14]([cH:15][c:16]2[CH3:17])[O:18][CH:24]([C:23](=[O:22])[OH:27])[O:19]3)[cH:6][cH:7]1
US08633211B2,[CH3:1][O:2][C:3]([CH2:4][n:5]1[c:6](=[O:16])[nH:7][c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]2[c:14]1=[O:15])=[O:17].Br[CH2:25][C:26](=[O:27])[NH:28][c:29]1[c:30]([O:38][CH3:39])[cH:31][c:32]([O:36][CH3:37])[c:33]([Cl:35])[cH:34]1>>[CH3:1][O:2][C:3]([CH2:4][n:5]1[c:6](=[O:16])[n:7]([CH2:25][C:26](=[O:27])[NH:28][c:29]2[c:30]([O:38][CH3:39])[cH:31][c:32]([O:36][CH3:37])[c:33]([Cl:35])[cH:34]2)[c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]2[c:14]1=[O:15])=[O:17]
US05461040,CC(C)C[O:6][P:5]([CH2:4][C@@H:3]([CH2:2][NH2:1])[OH:13])(=[O:11])[CH3:12]>>[NH2:1][CH2:2][C@H:3]([CH2:4][P:5](=[O:6])([OH:11])[CH3:12])[OH:13]
US06899886B2,[Cl:3][c:4]1[cH:5][cH:6][c:7]([CH:10]([C:11](=[O:12])[O:13][CH3:14])[C:15]#[N:16])[cH:8][cH:9]1.Cl[C:21]([c:20]1[c:19]([C:18]([F:17])([F:28])[F:29])[cH:27][cH:26][cH:25][cH:24]1)=[O:22]>>[Cl:3][c:4]1[cH:5][cH:6][c:7]([C:10]([C:11](=[O:12])[O:13][CH3:14])([C:15]#[N:16])[C:21]([c:20]2[c:19]([C:18]([F:17])([F:28])[F:29])[cH:27][cH:26][cH:25][cH:24]2)=[O:22])[cH:8][cH:9]1
US06780471B2,Br[Mg][c:5]1[cH:4][cH:3][c:2]([Br:1])[cH:7][cH:6]1.Cl[CH2:11][SiH:12]([O:13][CH:14]([CH3:15])[CH3:16])[O:17][CH:18]([CH3:19])[CH3:20]>>[Br:1][c:2]1[cH:3][cH:4][c:5]([Si:12]([CH3:11])([O:13][CH:14]([CH3:15])[CH3:16])[O:17][CH:18]([CH3:19])[CH3:20])[cH:6][cH:7]1
US08841478B2,O=[C:1]([CH3:2])[NH:4][CH2:5][C@@H:6]1[CH2:7][CH2:8][C@@H:9]([CH2:12][C:13](=[O:14])[O:15][CH2:16][CH3:17])[CH2:10][CH2:11]1>>[CH2:1]([CH3:2])[NH:4][CH2:5][C@@H:6]1[CH2:7][CH2:8][C@@H:9]([CH2:12][C:13](=[O:14])[O:15][CH2:16][CH3:17])[CH2:10][CH2:11]1
US08063234B2,C[C:12]1([CH3:16])OC(=O)[CH:9]([CH:8]([c:5]2[cH:4][cH:3][c:2]([Cl:1])[cH:7][cH:6]2)[c:19]2[cH:20][nH:21][c:22]3[c:23]([CH2:29][S:30][CH3:31])[c:24]([F:28])[cH:25][cH:26][c:27]23)[C:10](=[O:18])[O:11]1>>[Cl:1][c:2]1[cH:3][cH:4][c:5]([CH:8]([CH2:9][C:10]([O:11][CH2:12][CH3:16])=[O:18])[c:19]2[cH:20][nH:21][c:22]3[c:23]([CH2:29][S:30][CH3:31])[c:24]([F:28])[cH:25][cH:26][c:27]23)[cH:6][cH:7]1
US04994486,>>[NH2:2][CH2:3][CH:4]1[O:5][CH:6]([CH:17]2[CH2:18][CH2:19][CH2:20][CH2:21][CH2:22]2)[CH2:7][c:8]2[c:9]1[c:10]([CH3:16])[cH:11][cH:12][c:13]2[OH:14]
US05661161,O=C(O)C(Cc1ccccc1)[O:14][CH2:13][C@H:9]1[N:8]([C:6]([O:5][C:1]([CH3:2])([CH3:3])[CH3:4])=[O:7])[CH2:12][CH2:11][CH2:10]1.O=[c:32]1n(O)nn[c:30]2[c:31]1[cH:34][cH:35][cH:36][cH:37]2.CN(C)CCCN=C=N[CH2:47][CH3:48].[CH3:51][O:52][C:53]([C@@H:54]([NH2:55])[CH2:56][CH2:57][S:58][CH3:59])=[O:60].CN(C)C=[O:72]>>[C:1]([CH3:2])([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[C@H:9]([CH2:13][O:14][C@@:54]([C:53]([O:52][CH3:51])=[O:60])([NH:55][C:47]([CH2:48][CH2:32][c:31]2[cH:30][cH:37][cH:36][cH:35][cH:34]2)=[O:72])[CH2:56][CH2:57][S:58][CH3:59])[CH2:10][CH2:11][CH2:12]1
US08618289B2,[C:1]([CH3:2])([CH3:3])([CH3:4])[c:5]1[cH:6][c:7]([NH:10][C:11](=[O:12])[NH:13][c:14]2[cH:15][c:16]([OH:20])[cH:17][cH:18][cH:19]2)[n:8][o:9]1.Cl[c:22]1[n:23][cH:24][n:25][c:26]2[cH:27][c:28]([F:33])[c:29]([F:32])[cH:30][c:31]12>>[C:1]([CH3:2])([CH3:3])([CH3:4])[c:5]1[cH:6][c:7]([NH:10][C:11](=[O:12])[NH:13][c:14]2[cH:15][c:16]([O:20][c:22]3[n:23][cH:24][n:25][c:26]4[cH:27][c:28]([F:33])[c:29]([F:32])[cH:30][c:31]34)[cH:17][cH:18][cH:19]2)[n:8][o:9]1
US05750531,>>[CH3:1][N:2]([c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)[c:15]1[n:14][c:13]([N:18]2[CH:19]([CH3:28])[c:20]3[cH:21][cH:22][cH:23][cH:24][c:25]3[CH2:26][CH2:27]2)[cH:12][c:11]([CH2:9][CH3:10])[n:16]1
US09394263B2,O=[N+:25]([O-])[c:20]1[c:19]([S:18][C:16]([C@H:12]([NH:11][C:9]([O:8][CH2:1][c:2]2[cH:3][cH:4][cH:5][cH:6][cH:7]2)=[O:10])[C:13](=[O:14])[OH:15])([CH3:17])[CH3:28])[cH:24][cH:23][cH:22][cH:21]1>>[CH2:1]([c:2]1[cH:3][cH:4][cH:5][cH:6][cH:7]1)[O:8][C:9](=[O:10])[NH:11][C@H:12]([C:13](=[O:14])[OH:15])[C:16]([CH3:17])([S:18][c:19]1[c:20]([NH2:25])[cH:21][cH:22][cH:23][cH:24]1)[CH3:28]
US08703941B2,[CH3:3][c:4]1[c:5]([CH3:28])[s:6][c:7]2[n:8][cH:9][n:10][c:11]([O:13][CH:14]3[CH2:15][CH2:16][CH:17]([NH:20][C:21]([O:22][C:23]([CH3:24])([CH3:25])[CH3:26])=[O:27])[CH2:18][CH2:19]3)[c:12]12.I[CH3:30]>>[CH3:3][c:4]1[c:5]([CH3:28])[s:6][c:7]2[n:8][cH:9][n:10][c:11]([O:13][CH:14]3[CH2:15][CH2:16][CH:17]([N:20]([C:21]([O:22][C:23]([CH3:24])([CH3:25])[CH3:26])=[O:27])[CH3:30])[CH2:18][CH2:19]3)[c:12]12
US07674801B2,O=[C:7]([c:5]1[c:4]([C:10](=[O:11])[O:12][CH2:13][CH3:14])[s:3][c:2]([Cl:1])[n:6]1)[OH:9].Cc1cc[cH:23][c:22]([CH3:28])[n:21]1>>[Cl:1][c:2]1[s:3][c:4]([C:10](=[O:11])[O:12][CH2:13][CH3:14])[c:5]([C:7](=[O:9])[NH:21][CH:22]([CH3:23])[CH3:28])[n:6]1
US08981111B2,O=[C:7]([c:6]1[c:2]([CH3:1])[n:3][cH:4][o:5]1)[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1.[NH2:16][OH:17]>>[CH3:1][c:2]1[n:3][cH:4][o:5][c:6]1[C:7]([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=[N:16][OH:17]
US09388189B2,F[c:2]1[cH:3][c:4]([I:11])[cH:5][c:6]([N+:8](=[O:9])[O-:10])[cH:7]1.[CH3:18][NH:19][CH3:20]>>[c:2]1([N:19]([CH3:18])[CH3:20])[cH:3][c:4]([I:11])[cH:5][c:6]([N+:8](=[O:9])[O-:10])[cH:7]1
US06225310B1,Cl[C:2]1=[N:3][S:4](=[O:12])(=[O:13])[c:5]2[c:6]([cH:8][c:9]([Cl:11])[s:10]2)[NH:7]1.[CH:14]1([NH2:18])[CH2:15][CH2:16][CH2:17]1>>[C:2]1([NH:18][CH:14]2[CH2:15][CH2:16][CH2:17]2)=[N:3][S:4](=[O:12])(=[O:13])[c:5]2[c:6]([cH:8][c:9]([Cl:11])[s:10]2)[NH:7]1
US07381719B2,CC(C)(C)OC(=O)[NH:14][CH2:15][C:16]([CH3:17])([CH3:18])[c:19]1[cH:20][cH:21][c:22]([O:25][c:26]2[n:27][cH:28][c:29]([C:32]([NH2:33])=[O:34])[cH:30][cH:31]2)[cH:23][cH:24]1>>[NH2:14][CH2:15][C:16]([CH3:17])([CH3:18])[c:19]1[cH:20][cH:21][c:22]([O:25][c:26]2[n:27][cH:28][c:29]([C:32]([NH2:33])=[O:34])[cH:30][cH:31]2)[cH:23][cH:24]1
